注文番号,アルゴ注文番号,繰越区分,状況,状況(逆指値),セット注文,注文日時,執行条件,注文期限,銘柄,銘柄コード・市場,取引,売買,口座,注文方法,アルゴ注文情報,逆指値条件,セット注文条件,信用区分(弁済期限),注文数量[株/口],約定数量[株/口],注文金額[円],（ポイント利用）,注文単価[円],約定単価[円],現在値[円],約定代金[円],手数料[円]
"7047","","","-","取消済","-","12/26 09:07:30","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,630円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,950.0","0","0"
"7046","","","約定","-","-","12/26 09:07:28","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,780.0","43,780.0","43,950.0","87,560","0"
"7045","","","-","取消済","-","12/26 09:07:19","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,630円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,950.0","0","0"
"7044","","","約定","-","-","12/26 09:07:15","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,770.0","43,770.0","43,950.0","43,770","0"
"7043","","","約定","市場執行済","-","12/26 09:07:09","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","3","3","-","-","43,750.0","43,750.0","43,950.0","131,250","0"
"7042","","","約定","市場執行済","-","12/26 09:07:09","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,750.0","43,750.0","43,950.0","43,750","0"
"7041","","","約定","-","-","12/26 09:06:10","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","1","1","-","-","43,710.0","43,690.0","43,950.0","43,690","0"
"7040","","","-","取消済","-","12/26 09:06:07","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,550円以下なら成行で執行(本日中)","-","一般(1日)","2","0","-","-","-","-","43,950.0","0","0"
"7039","","","-","取消済","-","12/26 09:06:07","-","-","ＮＦ日経レバ","1570 東証(SOR)","信用返済","売埋","特定","逆指値注文","-","市場価格が43,490円以下なら成行で執行(本日中)","-","一般(1日)","1","0","-","-","-","-","43,950.0","0","0"
"7038","","","約定","-","-","12/26 09:06:05","本日中","2025/12/26","ＮＦ日経レバ","1570 東証(SOR)","信用新規","買建","特定","通常注文","-","-","-","一般(1日)","2","2","-","-","43,690.0","43,690.0","43,950.0","87,380","0"
